index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
0,Roasted Red Pepper Hummus,Marketside,"Hummus, Dips, & Salsa",2.67,http://dbpedia.org/resource/Hummus
17,Guacamole,Freshness Guaranteed,"Hummus, Dips, & Salsa",3.14,http://dbpedia.org/resource/Hummus
34,Mild Queso Blanco Dip,Marketside,"Hummus, Dips, & Salsa",4.68,http://dbpedia.org/resource/Hummus
51,Homestyle Guacamole,Marketside,"Hummus, Dips, & Salsa",5.24,http://dbpedia.org/resource/Hummus
68,All American Sandwich Spread Bottle,Beano's,"Hummus, Dips, & Salsa",2.43,http://dbpedia.org/resource/Hummus
85,Energy Drink,Red Bull,Energy Drinks,7.24,http://dbpedia.org/resource/Energy
102,Green,Monster Energy,Energy Drinks,2.28,http://dbpedia.org/resource/Energy
119,Energy Drink,Red Bull,Energy Drinks,10.48,http://dbpedia.org/resource/Energy
136,Alani Energy Drink-cherry Slush-12oz,Alani Nu,Energy Drinks,2.48,http://dbpedia.org/resource/Energy
153,Java Monster Loca Moca,Monster Energy,Energy Drinks,10.48,http://dbpedia.org/resource/Energy
170,,Bertolli,Oils & Shortening,6.23,http://dbpedia.org/resource/Oil
187,Peanut Oil,Great Value,Oils & Shortening,19.32,http://dbpedia.org/resource/Oil
204,Baked Potato Soup,Panera Bread,Fresh Soups & Salads,4.92,http://dbpedia.org/resource/DJ_Fresh
221,Refined Avocado Oil,Great Value,Oils & Shortening,10.3,http://dbpedia.org/resource/Oil
238,Freshness Guaranteed Original Potato Salad,Wal-Mart Deli,Fresh Soups & Salads,3.94,http://dbpedia.org/resource/DJ_Fresh
255,Lo-Carb,Monster Energy,Energy Drinks,19.98,http://dbpedia.org/resource/Energy
272,High Performance Energy Drink,NOS,Energy Drinks,1.98,http://dbpedia.org/resource/Energy
289,Refined Avocado Oil,Great Value,Oils & Shortening,10.3,http://dbpedia.org/resource/Oil
306,Freshness Guaranteed Mustard Potato Salad,Wal-Mart Deli,Fresh Soups & Salads,3.94,http://dbpedia.org/resource/DJ_Fresh
323,Sunflower Bacon Crunch Chopped Salad Kit,Marketside,Fresh Soups & Salads,3.98,http://dbpedia.org/resource/DJ_Fresh
340,BBQ Baked Beans with Brisket,Freshness Guaranteed,Fresh Soups & Salads,7.97,http://dbpedia.org/resource/DJ_Fresh
357,Baby Greens Salad,Marketside,Fresh Soups & Salads,2.73,http://dbpedia.org/resource/DJ_Fresh
374,BCAA Powder -  Pre Workout BCAA Energy Powder 30 Servings - EVL BCAA Amino Acids Endurance & Muscle Recovery Drink - Fruit Punch Flavor with Vitamin B12 & Vitamin C,Evlution Nutrition,Energy Drinks,17.86,http://dbpedia.org/resource/Energy
391,Shot Peach Mango 4PK,Bang,Energy Drinks,8.98,http://dbpedia.org/resource/Energy
408,Star Extra Virgin Olive Oil Value Pack,STAR,Oils & Shortening,14.74,http://dbpedia.org/resource/Oil
425,Reign Total Body Fuel,Reign Watches,Energy Drinks,2.28,http://dbpedia.org/resource/Energy
442,+ENERGY Peach Mango Energy Drink,V8,Energy Drinks,9.38,http://dbpedia.org/resource/Energy
459,+ENERGY Pomegranate Blueberry Energy Drink,V8,Energy Drinks,5.14,http://dbpedia.org/resource/Energy
476,Kickstart Orange Citrus Energizing Juice 16 oz Can,Mountain Dew,Energy Drinks,1.5,http://dbpedia.org/resource/Energy
493,Beef Choice Angus Ribeye Steak Thin,Fresh Beef,Game Time Faves,15.17,http://dbpedia.org/resource/Game_Time
510,Beef Choice Angus Flat Iron Steak,Fresh Beef,Game Time Faves,6.3,http://dbpedia.org/resource/Game_Time
527,Villari Smoked Turkey Wings Cut,Villari Brothers,Game Time Faves,5.62,http://dbpedia.org/resource/Game_Time
544,Fresh Wild Caught Tuna Steaks,FISH,Game Time Faves,8.3,http://dbpedia.org/resource/Game_Time
561,Doubleshot Energy White Chocolate Coffee Energy Drink,Starbucks,Energy Drinks,2.98,http://dbpedia.org/resource/Energy
578,xxx,vitaminwater,Energy Drinks,1.38,http://dbpedia.org/resource/Energy
595,Energy Vanilla Coffee Energy Drink,Starbucks Doubleshot,Energy Drinks,6.98,http://dbpedia.org/resource/Energy
612,Black Cherry Sparkling Water,Clear American,Sparkling Water,4.12,http://dbpedia.org/resource/Water
629,Variety Pack,Sparkling Ice,Sparkling Water,10.98,http://dbpedia.org/resource/Water
646,Werthers Original Hard Caramel Candy,Werther's Original,Better for you,2.58,http://dbpedia.org/resource/Better_(talk_show)
663,Dove Promises Mint Swirl Dark Chocolate Candy - 7.61 oz Bag,DOVE Chocolate,Better for you,4.98,http://dbpedia.org/resource/Better_(talk_show)
680,Tangerine Sparkling Water - 8pk/12 fl oz Cans,LaCroix,Sparkling Water,3.68,http://dbpedia.org/resource/Water
697,Naturally Flavored Sparkling Water,Sparkling Ice,Sparkling Water,1.08,http://dbpedia.org/resource/Water
714,Calorie Free Club Soda Cocktail Mixer,Great Value,Sparkling Water,2.98,http://dbpedia.org/resource/Water
731,Sugar Free Pecan Delights with Stevia,Russell Stover,Better for you,6.48,http://dbpedia.org/resource/Better_(talk_show)
748,Hu Cashew Butter + Pure Vanilla Bean Dark Chocolate,Hu Kitchen,Better for you,4.99,http://dbpedia.org/resource/Better_(talk_show)
765,Boost Watamu Strawberry Watermelon,Bai,Energy Drinks,2.18,http://dbpedia.org/resource/Energy
782,bubly drops Unsweetened Natural Flavor Essence Mango,SodaStream,Sparkling Water,5.88,http://dbpedia.org/resource/Water
799,Popcorners Kettle Corn Popped Corn Snacks,PopCorners,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
816,Sweet Balanced Breaks Cheddar Cheese,Sargento,Healthy Snacks,3.58,http://dbpedia.org/resource/Snack
833,zero xxx,vitaminwater,Sparkling Water,5.88,http://dbpedia.org/resource/Water
850,Unsweetened Blackberry Sparkling Water,Clear American,Sparkling Water,4.12,http://dbpedia.org/resource/Water
867,EXCELLENCE 85% Cocoa Dark Chocolate Candy Bar,Lindt,Better for you,2.94,http://dbpedia.org/resource/Better_(talk_show)
884,Lindor Dark Chocolate Candy Truffles,Lindt,Better for you,6.48,http://dbpedia.org/resource/Better_(talk_show)
901,Original Strawberry Ready-to-Eat Jello Cups Gelatin Snack Value Pack,Jell-O,Pudding & Gelatin,3.96,http://dbpedia.org/resource/Pudding
918,Cheesecake Crumble Original Cheesecake Desserts with Graham Crumble,Philadelphia,Pudding & Gelatin,3.58,http://dbpedia.org/resource/Pudding
935,,Wonderful Pistachios,Healthy Snacks,6.94,http://dbpedia.org/resource/Snack
952,Sandwich Peanut Butter Breakfast Biscuits,belVita,Healthy Snacks,3.88,http://dbpedia.org/resource/Snack
969,Scoops! Corn Snacks,Fritos,Healthy Snacks,4.98,http://dbpedia.org/resource/Snack
986,Chopped Walnuts,Great Value,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
1003,Sweet & Salty Caramel Corn Snacks,Bugles,Healthy Snacks,3.68,http://dbpedia.org/resource/Snack
1020,Walnuts Halves & Pieces,Great Value,Healthy Snacks,7.34,http://dbpedia.org/resource/Snack
1037,Indulgent Trail Mix,Great Value,Healthy Snacks,5.68,http://dbpedia.org/resource/Snack
1054,Fresh Guarantee Sunflower Kernels,Freshness Guaranteed,Healthy Snacks,3.48,http://dbpedia.org/resource/Snack
1071,Cherry Sugar Free Gelatin Dessert Mix,Jell-O,Pudding & Gelatin,1.47,http://dbpedia.org/resource/Pudding
1088,Pretzel Sticks,Great Value,Pretzels,1.98,http://dbpedia.org/resource/Pretzel
1105,Pretzels,Snyder's of Hanover,Pretzels,3.68,http://dbpedia.org/resource/Pretzel
1122,Snack Factory,Pretzel Crisps,Pretzels,3.24,http://dbpedia.org/resource/Pretzel
1139,Sweet & Salty Chewy Almond Granola Bars,Great Value,Granola Bars,2.98,http://dbpedia.org/resource/Granola
1156,Big Chewy Granola Bars,Quaker,Granola Bars,5.92,http://dbpedia.org/resource/Granola
1173,Whole Cloves,Great Value,Pretzels,1.94,http://dbpedia.org/resource/Pretzel
1190,CLIF BAR Energy Bars,Clif Bar,Granola Bars,6.97,http://dbpedia.org/resource/Granola
1207,KIND THINS Peanut Butter Dark Chocolate Bars,KIND Bars,Granola Bars,7.94,http://dbpedia.org/resource/Granola
1224,CLIF BAR Energy Bars,Clif Bar,Granola Bars,19.76,http://dbpedia.org/resource/Granola
1241,Cashew Cookie Date & Nut Bars,Great Value,Granola Bars,4.68,http://dbpedia.org/resource/Granola
1258,PB&J School Snack,Split,Granola Bars,1.97,http://dbpedia.org/resource/Granola
1275,Honey Roasted Mixed Nuts with Peanuts,Planters,Healthy Snacks,5.23,http://dbpedia.org/resource/Snack
1292,Bold Sriracha Flavored Almonds,Blue Diamond,Healthy Snacks,3.57,http://dbpedia.org/resource/Snack
1309,Ocean Spray Original Dried Cranberries,Craisins,Healthy Snacks,6.64,http://dbpedia.org/resource/Snack
1326,Naturally Pomegranate Vanilla Flavored Cashews Glazed Mix,Sahale Snacks,Healthy Snacks,3.88,http://dbpedia.org/resource/Snack
1343,Amazin Pitted Prunes,Sunsweet,Healthy Snacks,7.98,http://dbpedia.org/resource/Snack
1360,Deluxe Pistachio Nut Mix with Pistachios,Planters,Healthy Snacks,11.5,http://dbpedia.org/resource/Snack
1377,Smoked Flavored Whole Almonds,Great Value,Healthy Snacks,6.23,http://dbpedia.org/resource/Snack
1394,Organic Granola Bars,CLIF Kid Zbar,Granola Bars,9.24,http://dbpedia.org/resource/Granola
1411,MIN PBDC DCCC Mini 20CT,KIND,Granola Bars,14.36,http://dbpedia.org/resource/Granola
1428,Almonds,Blue Diamond,Healthy Snacks,3.48,http://dbpedia.org/resource/Snack
1445,,Wonderful Pistachios,Healthy Snacks,7.32,http://dbpedia.org/resource/Snack
1462,Halves & Pieces Walnuts Value Pack,Great Value,Baking Nuts & Seeds,14.73,http://dbpedia.org/resource/Baking
1479,Beef Choice Angus New York Strip Steak,Fresh Beef,Game Time Faves,18.16,http://dbpedia.org/resource/Game_Time
1496,Frozen Raw Large Peeled & Deveined,Great Value,Game Time Faves,13.26,http://dbpedia.org/resource/Game_Time
1513,Beef Choice Angus New York Strip Steak Family Pack,Fresh Beef,Game Time Faves,23.7,http://dbpedia.org/resource/Game_Time
1530,Villari Smoked Turkey Wings Cut,Villari Brothers,Game Time Faves,5.62,http://dbpedia.org/resource/Game_Time
1547,Classic Bread Machine Yeast,Fleischmann's,Yeast,6.22,http://dbpedia.org/resource/Yeast
1564,Almond Breeze Unsweetened Vanilla Almond Milk,Blue Diamond,Milk,4.57,http://dbpedia.org/resource/Milk
1581,Vanilla Almond Milk,Silk,Milk,3.27,http://dbpedia.org/resource/Milk
1598,Almonds Habanero BBQ Flavored Snack Nuts,Blue Diamond,Healthy Snacks,11.68,http://dbpedia.org/resource/Snack
1615,Whole Natural Almonds,Great Value,Healthy Snacks,4.98,http://dbpedia.org/resource/Snack
1632,Organic Whole DHA Omega-3 Milk,Horizon,Milk,5.47,http://dbpedia.org/resource/Milk
1649,Deans  1% Low Fat Chocolate Milk,TruMoo,Milk,5.98,http://dbpedia.org/resource/Milk
1666,Original Almond Milk,Great Value,Milk,2.36,http://dbpedia.org/resource/Milk
1683,Multi-Seed Cracker Ultimate Everything Gluten Free,Crunchmaster,Healthy Snacks,3.37,http://dbpedia.org/resource/Snack
1700,Chopped Walnuts,Great Value,Healthy Snacks,2.36,http://dbpedia.org/resource/Snack
1717,Organic 1% Low Fat Milk,Great Value,Milk,5.98,http://dbpedia.org/resource/Milk
1734,Almond Breeze Unsweetened Almond Coconut Original Almond Milk,Blue Diamond,Milk,2.97,http://dbpedia.org/resource/Milk
1751,Gluten Free Lite Coconut Milk,Thai Kitchen,Milk,2.58,http://dbpedia.org/resource/Milk
1768,Lite Coconut Milk,Thai Kitchen,Milk,4.88,http://dbpedia.org/resource/Milk
1785,Fat Free Milk,Sarah Farms,Milk,4.24,http://dbpedia.org/resource/Milk
1802,Goya Coconut Milk Cream of Coconut,GOYA,Milk,2.64,http://dbpedia.org/resource/Milk
1819,Grated Parmesan Cheese,Great Value,Cheese,2.68,http://dbpedia.org/resource/Cheese
